obsnme,obsval,weight,obgnme,cycle,org_obgnme
head_00_005_019,34.38686,0.0,obgnme,-1,
head_00_006_000,35.08017,0.0,obgnme,-1,
head_00_006_001,35.07015,0.0,obgnme,-1,
head_00_006_002,35.04919,0.0,obgnme,-1,
head_00_006_003,35.01514,0.0,obgnme,-1,
head_00_006_004,34.96528,0.0,obgnme,-1,
head_00_006_005,34.90776,0.0,obgnme,-1,
head_00_006_006,34.84383,0.0,obgnme,-1,
head_00_006_007,34.775040000000004,0.0,obgnme,-1,
head_00_006_008,34.712270000000004,0.0,obgnme,-1,
head_00_006_009,34.65558,0.0,obgnme,-1,
head_00_006_010,34.602709999999995,0.0,obgnme,-1,
head_00_006_011,34.55142,0.0,obgnme,-1,
head_00_006_012,34.50011,0.0,obgnme,-1,
head_00_006_013,34.447959999999995,0.0,obgnme,-1,
head_00_006_014,34.39424,0.0,obgnme,-1,
head_00_006_015,34.28088,0.0,obgnme,-1,
head_00_006_016,34.34574,0.0,obgnme,-1,
head_00_006_017,34.35368,0.0,obgnme,-1,
head_00_006_018,34.360409999999995,0.0,obgnme,-1,
head_00_006_019,34.36428,0.0,obgnme,-1,
head_00_007_000,35.094190000000005,0.0,obgnme,-1,
head_00_007_001,35.085570000000004,0.0,obgnme,-1,
head_00_007_002,35.06714,0.0,obgnme,-1,
head_00_007_003,35.0344,0.0,obgnme,-1,
head_00_007_004,34.96968,0.0,obgnme,-1,
head_00_007_005,34.90436,0.0,obgnme,-1,
head_00_007_006,34.83126,0.0,obgnme,-1,
head_00_007_007,34.74191,0.0,obgnme,-1,
head_00_007_008,34.67412,0.0,obgnme,-1,
head_00_007_009,34.61849,0.0,obgnme,-1,
head_00_007_010,34.56771,0.0,obgnme,-1,
head_00_007_011,34.51805,0.0,obgnme,-1,
head_00_007_012,34.46783,0.0,obgnme,-1,
head_00_007_013,34.416509999999995,0.0,obgnme,-1,
head_00_007_014,34.36363,0.0,obgnme,-1,
head_00_007_015,34.25379,0.0,obgnme,-1,
head_00_007_016,34.31302,0.0,obgnme,-1,
head_00_007_017,34.32411,0.0,obgnme,-1,
head_00_007_018,34.33425,0.0,obgnme,-1,
head_00_007_019,34.33996,0.0,obgnme,-1,
head_00_008_000,35.10892,0.0,obgnme,-1,
head_00_008_001,35.10323,0.0,obgnme,-1,
head_00_008_002,35.09257,0.0,obgnme,-1,
head_00_008_003,35.08034,0.0,obgnme,-1,
head_00_008_007,34.68349,0.0,obgnme,-1,
head_00_008_008,34.61974,0.0,obgnme,-1,
head_00_008_009,34.572309999999995,0.0,obgnme,-1,
head_00_008_010,34.52715,0.0,obgnme,-1,
head_00_008_011,34.48058,0.0,obgnme,-1,
head_00_008_012,34.43179,0.0,obgnme,-1,
head_00_008_013,34.38126,0.0,obgnme,-1,
head_00_008_014,34.32932,0.0,obgnme,-1,
head_00_008_015,34.22181,0.0,obgnme,-1,
head_00_008_016,34.26793,0.0,obgnme,-1,
head_00_008_017,34.28988,0.0,obgnme,-1,
head_00_008_018,34.30709,0.0,obgnme,-1,
head_00_008_019,34.31577,0.0,obgnme,-1,
head_00_009_000,35.121109999999994,0.0,obgnme,-1,
head_00_009_001,35.11785,1.0,obgnme,-1,trgw_0_9_1
head_00_009_002,35.11226,0.0,obgnme,-1,
head_00_009_003,35.10714,0.0,obgnme,-1,
head_00_009_008,34.54517,0.0,obgnme,-1,
head_00_009_009,34.519690000000004,0.0,obgnme,-1,
head_00_009_010,34.483709999999995,0.0,obgnme,-1,
head_00_009_011,34.44095,0.0,obgnme,-1,
head_00_009_012,34.392959999999995,0.0,obgnme,-1,
head_00_009_013,34.34237,0.0,obgnme,-1,
head_00_009_014,34.29393,0.0,obgnme,-1,
head_00_009_015,34.18744,0.0,obgnme,-1,
head_00_009_016,34.19184,0.0,obgnme,-1,
head_00_009_017,34.25497,0.0,obgnme,-1,
head_00_009_018,34.28311,0.0,obgnme,-1,
head_00_009_019,34.29475,0.0,obgnme,-1,
head_00_010_000,35.12793,0.0,obgnme,-1,
head_00_010_001,35.12623,0.0,obgnme,-1,
head_00_010_002,35.12342,0.0,obgnme,-1,
head_00_010_003,35.12099,0.0,obgnme,-1,
head_00_010_008,34.49075,0.0,obgnme,-1,
head_00_010_009,34.47307,0.0,obgnme,-1,
head_00_010_010,34.442820000000005,0.0,obgnme,-1,
head_00_010_011,34.402359999999994,0.0,obgnme,-1,
head_00_010_012,34.35241,0.0,obgnme,-1,
head_00_010_013,34.29638,0.0,obgnme,-1,
head_00_010_014,34.26388,0.0,obgnme,-1,
head_00_010_015,34.17662,0.0,obgnme,-1,
head_00_010_016,34.22538,0.0,obgnme,-1,
head_00_010_017,34.25103,0.0,obgnme,-1,
head_00_010_018,34.27022,0.0,obgnme,-1,
head_00_010_019,34.27977,0.0,obgnme,-1,
head_00_011_000,35.12762,0.0,obgnme,-1,
head_00_011_001,35.1267,0.0,obgnme,-1,
