parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,cycle
npf_k33_0_000_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_000_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_001_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_008,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_009,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_010,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_011,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_012,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_013,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_014,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_015,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_016,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_017,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_018,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_002_019,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_000,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_001,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_002,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_003,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_004,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_005,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_006,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
npf_k33_0_003_007,log,factor,0.3,0.03,3.0,npf_k33_0,1.0,0.0,1,-1.0
